com_id	id	name
C00014735	9d995a98-e194-499d-afa8-aa3d4689126d	BIR-1254
C00008779	5bf3f269-6ca1-405d-9cc5-8ce2ccb25cb2	BIR-596
None	fe1fa2c1-38f3-42d1-ae16-8e800de67f44	194629_Grampian
None	87241fff-ff0a-4851-a0c5-663bd4fea9c6	188979_Grampian
C00009048	85d4b6b1-6c09-4626-8d02-1d1cef241af2	BIR-596
C00009050	46dc45e7-04b0-4b3b-80c3-6f253522a0e0	BIR-613
None	0193b459-f085-41e8-a209-2207b7740e35	186686_Grampian
C00007569	2cebe4a6-8ca3-446d-b2bd-94d4b090e1b3	BIR-744
C00008909	7d0c46bc-5673-4d16-b3d0-98f9030c5b11	BIR-752
None	00449131-1ccd-4684-8e78-fe8cc66d3eab	255069_Grampian
C00005449	1a57ccf4-d764-4e70-81c0-6fabf6e872c4	BIR-303_4
C00005307	9c8411bd-6d1f-4fd6-b6e9-ada311ea2362	BIR-162_3
C00018378	ffe4aa58-6637-438a-8d8a-6cf854fc2fb1	Grampian_168856
C00018391	6407bb43-05a3-4175-ad19-549ea94565c7	Grampian_201360
C00008933	f88a20e4-bd7c-4e26-947c-b573e778e719	BIR-730
C00009118	b6cdd2ae-32c1-4e41-8bef-d5c16f5825ff	BIR-585
C00018380	9bbf309f-ef38-4df7-9cce-47e1fceef4be	Grampian_224262
C00008753	d8eaaf36-64d7-421d-9fbf-c14761a6df43	BIR-585
C00018387	68a60685-b9f8-4838-85eb-365bfed46f14	Grampian_204536
C00007570	e6570a8f-7dc6-4b6c-8525-4e5592992be0	BIR-767
None	546c86a7-de60-44c9-a67e-79d4dac4ae86	110615356
C00018368	48c80497-2c67-41a5-a864-c54580025613	Grampian_280298
C00005264	227c0897-fcb0-4fdd-8668-1a1025d7e982	BIR-17_3
None	f269bf4e-6435-48bd-87e5-8ee50ec897a3	TRL0080777-S13
C00005308	fdc88622-6d99-447d-8428-cfbd0fa32ee4	BIR-164_3
C00018383	a18f0544-9c63-49db-915d-82b1e0138988	Grampian_242702
C00009114	9304fe4a-64ca-4a20-8c10-6e4a395c4244	BIR-743
C00003790	04a3248b-8fa6-42f0-b1ab-4d4da08a3c7a	BIR-95_2
C00003819	21f1c0f0-729b-49be-a785-d975a17282ae	BIR-100_2
C00018374	98c1ead3-e085-4bdb-8433-b17fb5dc3894	Grampian_227607
C00005306	47036313-5389-4879-81ef-ea064234fffb	BIR-161_3
C00014772	5b53b622-2794-48aa-9573-44b1d21087cc	BIR-1291
C00003818	ea4faddb-5496-48fa-8883-4faa3c60277c	BIR-99_2
C00005305	cfc04a4d-8093-4a64-8622-20b644fd7515	BIR-160_3
C00018371	7e8b81aa-403f-4342-b5f5-617e017dcd38	Grampian_188405
C00005477	96b0103c-40bb-4cc8-9139-465715c457a3	BIR-330_5
C00010178	a2472c63-f626-48fc-9bca-69b37cf6c192	W20767_OxRet_9
C00012896	ea9943e7-da56-45ed-9021-edaf97d0c4a7	Bir-790
None	9afb8011-7c8b-4c53-9afc-f0eaf13f8543	18
C00018385	fc3e4edc-a8f2-4c08-a80f-0edc98d88a92	Grampian_191756
C00014745	484bb501-bab0-47fc-b13e-fc852b0bfca1	BIR-1264
C00003821	99b8c72f-8c81-483a-a9f5-9420e6503a0a	BIR-102_2
None	0cad3bfa-5a09-4a97-93ef-dca9755b1b09	130611039
None	93df0960-bb25-4291-a58f-914f9f59e489	140600129
None	e0ec681e-ea2b-4605-9bfa-d03b3b61c9a4	140600127
None	4a751163-c589-4d54-8df7-3459d2bb0d5d	TRL0063481-S2
C00008793	9d7f31ef-cc2b-4f04-ac05-17c1375d29b1	BIR-613
C00018369	2d1a7639-241b-4e1a-9aba-3214eef6999d	Grampian_243255
None	65682cd3-9b12-418a-8863-25495f8eb32e	140609476
C00008908	5ee31bcd-8d06-4366-8e95-977b3b618956	BIR-743
None	d296b714-90b3-4f60-80b2-ad2a6899635e	120617575
C00012894	4bda478c-c242-414d-8e8c-20d154e5c17d	Bir-788
C00005475	4207f3b3-4d56-439c-98df-46c0de70c332	BIR-328_5
C00003839	698fcc4d-24c9-428a-86ec-36ca3ec87a4a	BIR-120_2
None	295f4ca8-ad52-47e6-9724-fec072950701	130608469
C00009067	3c5a08cf-138a-4a43-9faf-9352204e2ca7	BIR-748
C00007331	9b8f737b-4c29-4888-a297-08c655831663	BIR-470_6
C00003793	a553cc1f-6043-4532-9737-957e585766bd	BIR-16_2
C00018388	c4e3dc55-ad84-47f9-9cf6-7920762447f7	Grampian_224377
C00018373	896f7296-8d7d-4473-b11e-464a0a7b6b7e	Grampian_218386
C00010270	9489ebdc-80a4-4d96-b25d-cecd975cfd5c	W71819_OxRet_237
C00005304	e6d74a7d-d334-4875-8ea2-8b542293a67e	BIR-159_3
C00014855	3c06edcd-2673-4892-aa31-9ddad2aed469	BIR-1363
C00008870	c2dd6f42-dd6a-4057-acbb-3093081827a5	BIR-748
