,cl1-130611039,cl1-BIR-767,cl1-BIR-159_3,cl1-BIR-730,cl1-BIR-16_2,cl1-BIR-102_2,cl1-BIR-120_2,cl1-BIR-752,cl1-BIR-99_2,cl1-120617575,cl1-140600129,cl1-130608469,cl1-BIR-162_3,cl1-110615356,cl1-BIR-160_3,cl1-Bir-790,cl1-BIR-100_2,cl1-BIR-161_3,cl1-140600127,cl1-BIR-17_3,cl1-BIR-330_5,cl1-BIR-744,cl1-BIR-328_5,cl1-BIR-95_2,cl1-Bir-788,cl1-BIR-303_4,cl1-BIR-164_3,cl1-140609476,reference
cl1-130611039,0,9,9,7,2,11,2,10,8,10,10,10,4,8,10,11,11,6,7,2,9,4,8,9,12,4,9,15,1491
cl1-BIR-767,9,0,15,4,8,10,12,5,14,11,11,7,7,5,15,7,17,8,8,9,14,9,12,13,7,8,8,10,1433
cl1-BIR-159_3,9,15,0,8,4,11,7,9,1,10,10,12,5,11,0,15,10,7,7,4,0,12,1,1,14,5,8,17,1479
cl1-BIR-730,7,4,8,0,1,5,7,1,8,9,9,3,2,1,8,3,10,1,6,3,8,7,7,9,4,1,0,8,1497
cl1-BIR-16_2,2,8,4,1,0,4,0,2,3,4,4,4,0,2,4,4,6,0,1,0,4,2,3,3,5,0,1,9,1444
cl1-BIR-102_2,11,10,11,5,4,0,8,7,10,9,9,9,4,7,12,14,13,5,8,6,11,14,10,10,11,4,6,15,1496
cl1-BIR-120_2,2,12,7,7,0,8,0,8,6,8,8,8,0,6,7,13,9,4,5,0,7,4,6,6,11,2,5,14,1470
cl1-BIR-752,10,5,9,1,2,7,8,0,9,11,11,4,2,0,9,5,12,2,8,4,10,8,8,9,10,2,0,9,1505
cl1-BIR-99_2,8,14,1,8,3,10,6,9,0,8,8,11,5,8,1,16,9,7,5,3,1,9,0,0,13,4,9,18,1467
cl1-120617575,10,11,10,9,4,9,8,11,8,0,0,12,6,10,10,13,11,8,0,5,9,10,8,8,17,6,9,17,1443
cl1-140600129,10,11,10,9,4,9,8,11,8,0,0,12,6,10,10,12,11,9,0,5,9,10,8,8,16,7,10,15,1455
cl1-130608469,10,7,12,3,4,9,8,4,11,12,12,0,4,2,12,8,13,4,9,6,11,10,10,10,9,4,2,11,1492
cl1-BIR-162_3,4,7,5,2,0,4,0,2,5,6,6,4,0,2,5,7,7,0,3,0,5,2,4,5,6,0,1,11,1473
cl1-110615356,8,5,11,1,2,7,6,0,8,10,10,2,2,0,11,5,11,2,7,4,9,8,8,8,6,2,0,9,1458
cl1-BIR-160_3,10,15,0,8,4,12,7,9,1,10,10,12,5,11,0,13,10,7,7,4,0,12,1,3,12,5,8,17,1456
cl1-Bir-790,11,7,15,3,4,14,13,5,16,13,12,8,7,5,13,0,18,6,9,9,13,11,11,12,0,8,2,3,1511
cl1-BIR-100_2,11,17,10,10,6,13,9,12,9,11,11,13,7,11,10,18,0,10,8,6,10,11,9,9,16,7,10,20,1476
cl1-BIR-161_3,6,8,7,1,0,5,4,2,7,8,9,4,0,2,7,6,10,0,5,2,8,7,6,7,6,0,1,11,1420
cl1-140600127,7,8,7,6,1,8,5,8,5,0,0,9,3,7,7,9,8,5,0,2,6,7,5,5,9,3,6,13,1441
cl1-BIR-17_3,2,9,4,3,0,6,0,4,3,5,5,6,0,4,4,9,6,2,2,0,4,2,3,3,7,0,3,11,1473
cl1-BIR-330_5,9,14,0,8,4,11,7,10,1,9,9,11,5,9,0,13,10,8,6,4,0,9,1,1,15,5,8,19,1478
cl1-BIR-744,4,9,12,7,2,14,4,8,9,10,10,10,2,8,12,11,11,7,7,2,9,0,8,8,12,7,7,15,1444
cl1-BIR-328_5,8,12,1,7,3,10,6,8,0,8,8,10,4,8,1,11,9,6,5,3,1,8,0,0,12,4,7,16,1470
cl1-BIR-95_2,9,13,1,9,3,10,6,9,0,8,8,10,5,8,3,12,9,7,5,3,1,8,0,0,13,4,8,18,1482
cl1-Bir-788,12,7,14,4,5,11,11,10,13,17,16,9,6,6,12,0,16,6,9,7,15,12,12,13,0,6,2,3,1509
cl1-BIR-303_4,4,8,5,1,0,4,2,2,4,6,7,4,0,2,5,8,7,0,3,0,5,7,4,4,6,0,1,11,1440
cl1-BIR-164_3,9,8,8,0,1,6,5,0,9,9,10,2,1,0,8,2,10,1,6,3,8,7,7,8,2,1,0,8,1440
cl1-140609476,15,10,17,8,9,15,14,9,18,17,15,11,11,9,17,3,20,11,13,11,19,15,16,18,3,11,8,0,1490
reference,1491,1433,1479,1497,1444,1496,1470,1505,1467,1443,1455,1492,1473,1458,1456,1511,1476,1420,1441,1473,1478,1444,1470,1482,1509,1440,1440,1490,0
